date,decision_date,trial_id,construction_tag,r_method,r_null_a,r_null_b,r_null_c,r_active_vs_a,turnover
2003-06-30,2003-05-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.01835798031240272,0.01835798031240272,0.017741876870549286,0.027050254340137726,0.0,0.0
2003-07-31,2003-06-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.03252954885826728,0.03252954885826728,0.03344681178889708,0.028699608730658657,0.0,0.0018763715695390148
2003-08-29,2003-07-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.035760425900180026,0.035760425900180026,0.03711803213378906,0.029441728671089365,0.0,0.25210215562162497
2003-09-30,2003-08-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,-0.010684067589647909,-0.010684067589647909,-0.012439680908941734,0.008903078229447815,0.0,0.003617984890847935
2003-10-31,2003-09-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.072596078037439,0.072596078037439,0.074057090810089,0.06279364537558679,0.0,0.0008444481491354655
2003-11-28,2003-10-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.024306083229633377,0.024306083229633377,0.026041040813198617,0.009597315041338721,0.0,0.0065336364249406545
2003-12-31,2003-11-28,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.039027184044049174,0.039027184044049174,0.035478059297238296,0.06605372609814648,0.0,0.0006025177085533448
2004-01-30,2003-12-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.024374773567035705,0.024374773567035705,0.025521209032147146,0.016679304749451954,0.0,0.004911953044333679
2004-02-27,2004-01-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.01779739379019034,0.01779739379019034,0.01748460675213387,0.018937879511278097,0.0,0.00040064583879995813
2004-03-31,2004-02-27,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.005307603234964522,0.005307603234964522,0.005647829100346382,0.005545045510469977,0.0,0.00035058197683919545
2004-04-30,2004-03-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,-0.034578110238371436,-0.034578110238371436,-0.035534755665310565,-0.028664839501071813,0.0,5.3178764957584335e-05
2004-05-28,2004-04-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.015440866614617441,0.015440866614617441,0.016219558252500463,0.007428015480127308,0.0,0.0015863729464808685
2004-06-30,2004-05-28,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.03383348001578084,0.03383348001578084,0.03480329810596539,0.028821144716047787,0.0,0.00023343758041582258
2004-07-30,2004-06-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,-0.04480779815471955,-0.04480779815471955,-0.04694932832808394,-0.030691134621927123,0.0,0.0010917209938285308
2004-08-31,2004-07-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0008310759427061923,0.0008310759427061923,-0.000811192918627926,0.011126010619336822,0.0,0.0024826192304032574
2004-09-30,2004-08-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.02860729640912732,0.02860729640912732,0.030597729486258943,0.014344395310152452,0.0,0.21147304119188626
2004-10-29,2004-09-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.01951939073799926,0.01951939073799926,0.019887090418697708,0.019579651969518243,0.0,0.0008185826833242912
2004-11-30,2004-10-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.06454151918406183,0.06454151918406183,0.06588344984472241,0.05253418283679831,0.0,0.0004694125809974192
2004-12-31,2004-11-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.033418132513141435,0.033418132513141435,0.03306751755863522,0.03731571006975962,0.0,0.001878176131375267
2005-01-31,2004-12-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,-0.02560080915722508,-0.02560080915722508,-0.025853630991336862,-0.02215959374983942,0.0,0.00116745154092298
2005-02-28,2005-01-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.02732702097828916,0.02732702097828916,0.02704683029553886,0.030097675266303612,0.0,0.0011401206923982929
2005-03-31,2005-02-28,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,-0.019417578537591934,-0.019417578537591934,-0.019998107151286384,-0.017235752625721357,0.0,0.0005039333420534045
2005-04-29,2005-03-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,-0.03472353737081132,-0.03472353737081132,-0.03669585907377671,-0.02028913043767162,0.0,0.0005090743823151014
2005-05-31,2005-04-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.04454955907317707,0.04454955907317707,0.04724819015196745,0.020831800204903543,0.0,0.001791262937899378
2005-06-30,2005-05-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.022603498032382575,0.022603498032382575,0.023737153407844384,0.01168137381253368,0.0,0.0017280705664632426
2005-07-29,2005-06-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.04756545708758923,0.04756545708758923,0.049479414834644755,0.029745446917003773,0.0,0.00046886891757554755
