date,trial_id,construction_tag,mix_lambda,avg_abs_corr,sync_score,stress_months_used,w_vs_uncond_erc_norm,fallback_flag,pi_hat_0,n_obs_pool_0,pi_hat_1,n_obs_pool_1
2003-05-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8681662670071033,0.8888888888888888,12,0.0,1,,0,,0
2003-06-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8650963771635277,0.8918918918918919,12,0.0,1,,0,,0
2003-07-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8906313434890913,0.9126984126984128,12,0.0,1,,0,,0
2003-08-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8907246808239354,0.9150579150579151,12,0.0,1,,0,,0
2003-09-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8867788113555448,0.9135338345864662,12,0.0,1,,0,,0
2003-10-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8857572241297701,0.9157509157509158,12,0.0,1,,0,,0
2003-11-28,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8857840540224542,0.9178571428571429,12,0.0,1,,0,,0
2003-12-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8785381641980665,0.9198606271777003,12,0.0,1,,0,,0
2004-01-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8787130093519409,0.9217687074829932,12,0.0,1,,0,,0
2004-02-27,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.878539727748298,0.9235880398671097,12,0.0,1,,0,,0
2004-03-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8769653862358989,0.9188311688311689,12,0.0,1,,0,,0
2004-04-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8771122456563286,0.9206349206349207,12,0.0,1,,0,,0
2004-05-28,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8769898262099673,0.922360248447205,12,0.0,1,,0,,0
2004-06-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8786278438523706,0.9240121580547113,12,0.0,1,,0,,0
2004-07-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8793103460241609,0.9255952380952381,12,0.0,1,,0,,0
2004-08-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8817932249950847,0.9138321995464853,12,0.0,1,,0,,0
2004-09-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8815130754478914,0.9155555555555556,12,0.0,1,,0,,0
2004-10-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8810292656426943,0.9172113289760349,12,0.0,1,,0,,0
2004-11-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.883251614835857,0.9188034188034189,12,0.0,1,,0,,0
2004-12-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.882514570093943,0.9203354297693921,12,0.0,1,,0,,0
2005-01-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8830187116919864,0.9218106995884774,12,0.0,1,,0,,0
2005-02-28,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8830000617309938,0.9232323232323233,12,0.0,1,,0,,0
2005-03-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8832567659765147,0.9246031746031746,12,0.0,1,,0,,0
2005-04-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8831842836643967,0.9259259259259259,12,0.0,1,,0,,0
2005-05-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8828075959413086,0.9272030651340997,12,0.0,1,,0,,0
2005-06-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.8825402199729555,0.928436911487759,12,0.0,1,,0,,0
2005-07-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7835950067721178,0.9249999999999999,12,0.0,1,,0,,0
2005-08-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7813846611668778,0.9216216216216214,12,0.0,1,,0,,0
2005-09-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7776194585215972,0.9184210526315787,12,0.0,1,,0,,0
2005-10-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7734635010675073,0.9205128205128202,12,0.0,1,,0,,0
2005-11-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7729150593826587,0.9225,12,0.0,1,,0,,0
2005-12-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7698060797863274,0.9146341463414634,12,0.0,1,,0,,0
2006-01-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7711520684772069,0.9142857142857143,12,0.0,1,,0,,0
2006-02-28,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7706293387741372,0.9046511627906977,12,0.0,1,,0,,0
2006-03-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7715045529826356,0.9045454545454544,12,0.0,1,,0,,0
2006-04-28,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7690369338054804,0.9022222222222221,12,0.0,1,,0,,0
2006-05-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7694799769789183,0.9043478260869564,12,0.0,1,,0,,0
2006-06-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7695842254593441,0.8936170212765956,12,0.0,1,,0,,0
2006-07-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7671381184025152,0.8875000000000001,12,0.0,1,,0,,0
2006-08-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7659546078745718,0.889795918367347,12,0.0,1,,0,,0
2006-09-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7648753660859555,0.892,12,0.0,1,,0,,0
2006-10-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7648658893880252,0.8941176470588236,12,0.0,1,,0,,0
2006-11-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7637340672965087,0.8961538461538462,12,0.0,1,,0,,0
2006-12-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7607746496700665,0.8905660377358491,12,0.0,1,,0,,0
2007-01-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7596088735835125,0.8907407407407407,12,0.0,1,,0,,0
2007-02-28,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7602500606868655,0.8836363636363637,12,0.0,1,,0,,0
2007-03-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7600412556792381,0.8839285714285715,12,0.0,1,,0,,0
2007-04-30,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7585439341433344,0.8859649122807018,12,0.0,1,,0,,0
2007-05-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.760755124258755,0.8862068965517242,12,0.0,1,,0,,0
2007-06-29,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7596112822479526,0.8881355932203391,12,0.0,1,,0,,0
2007-07-31,rr_erc_pathA_stress_sw12_lam25_cat,stress_corr_overlay,0.0,0.7658815792520475,0.8883333333333334,12,0.0,1,,0,,0
